frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,69.00008,218.00024,1.4721069,1.2415737,1.2415737,0.01,1.4155438,1.4155433,1.8079686,-1.5952586,1
0,71.99959,197.99988,1.3534698,1.153556,1.153556,0.01,1.3261797,1.3261797,3.0640516,-1.5229056,1
0,71.99962,90.99984,1.3019333,1.1490997,1.1490997,0.01,1.349853,1.349853,2.5414314,-1.47604,1
0,71.99979,325.99973,1.2333145,1.1779283,1.1779283,0.01,1.4488689,1.4488692,2.517547,-1.4013356,1
0,71.99994,292.99985,1.0,1.0964687,1.0964687,0.01,1.4828395,1.4828397,2.732412,-1.2053012,1
0,71.999954,247.99997,1.0,1.1453844,1.1453844,0.01,1.5807627,1.5807626,2.2089992,-1.1927247,1
0,72.000015,228.99985,1.0,1.206508,1.206508,0.01,1.7134786,1.7134786,2.9671519,-1.1749505,1
0,72.0001,47.999844,1.0,1.1259061,1.1259061,0.01,1.5409194,1.5409197,2.7878265,-1.1979177,1
0,72.999756,70.999756,1.685379,1.0988606,1.0988606,0.01,1.0836817,1.0836818,3.500233,-1.8590695,1
0,73.00011,102.00028,1.0900726,1.1188651,1.1188651,0.01,1.4469427,1.4469429,3.1047502,-1.2852806,1
0,73.00017,303.99988,1.0,1.1652026,1.1652026,0.01,1.622494,1.6224936,2.7669983,-1.1872003,1
0,73.00026,36.00019,1.3620987,1.2138385,1.2138385,0.01,1.4299749,1.4299747,2.6567473,-1.506779,1
0,73.00039,240.00005,1.1087341,1.2042242,1.2042242,0.01,1.6016569,1.6016567,2.151568,-1.2763026,1
0,73.99955,153.99997,1.6086273,1.2061069,1.2061069,0.01,1.2812121,1.2812121,2.7644064,-1.7380993,1
0,73.99959,144.99976,1.554512,1.202549,1.202549,0.01,1.3014352,1.3014351,2.6170537,-1.6897358,1
0,73.99972,208.99974,1.3381805,1.2133143,1.2133143,0.01,1.444401,1.4444013,2.1876636,-1.4849288,1
0,74.00003,22.99997,1.0,1.1435306,1.1435306,0.01,1.5769209,1.5769209,2.9902442,-1.1932292,1
0,74.00026,178.0003,1.3050919,1.1422824,1.1422824,0.01,1.3359178,1.3359178,2.506137,-1.4814425,1
0,74.999794,314.9997,2.0479126,1.1930132,1.1930132,0.01,1.0933218,1.0933218,4.1635013,-2.1526294,1
0,74.99983,120.99996,1.0,1.1363866,1.1363866,0.01,1.5622146,1.5622149,2.2967665,-1.1951532,1
0,74.999916,167.00027,1.0,1.1981237,1.1981237,0.01,1.6945624,1.6945623,2.2814867,-1.1775141,1
0,74.99993,260.00006,1.0,1.121797,1.121797,0.01,1.5326594,1.5326592,2.6545978,-1.1989824,1
0,74.99994,57.999893,1.0,1.2038572,1.2038572,0.01,1.7074726,1.7074724,2.348556,-1.1757652,1
0,75.00001,282.0001,1.0,1.0645175,1.0645175,0.01,1.4225906,1.4225909,2.66422,-1.2126551,1
0,75.00024,340.0,1.0,1.1118573,1.1118573,0.01,1.5128859,1.512886,2.7817116,-1.2015126,1
0,75.00025,273.0002,1.4090424,1.209478,1.209478,0.01,1.3929842,1.3929843,2.7680466,-1.5520022,1
0,75.000374,187.99992,1.2715378,1.1877322,1.1877322,0.01,1.4405699,1.4405698,2.8305469,-1.4333413,1
0,76.00029,135.00034,1.4962616,1.2413205,1.2413205,0.01,1.401335,1.401335,2.2882264,-1.6174554,1
0,79.99978,66.00025,1.0,1.0851183,1.0851183,0.01,1.4611113,1.4611112,2.0596907,-1.2079937,1
0,79.99993,31.000189,1.0,1.1762745,1.1762745,0.01,1.646344,1.6463438,2.4483166,-1.1840119,1
0,80.999855,99.00003,1.0,1.2272273,1.2272273,0.01,1.7612271,1.7612273,2.6842732,-1.1684562,1
0,81.99982,163.9999,1.0606079,1.2216632,1.2216632,0.01,1.6849626,1.6849623,2.5262873,-1.2259947,1
0,81.99986,108.00026,1.1484528,1.1831627,1.1831627,0.01,1.5242022,1.5242025,2.7050092,-1.3203493,1
0,82.00009,119.0002,1.0647964,1.2083519,1.2083519,0.01,1.6514448,1.6514446,2.0723448,-1.2342783,1
0,82.000114,198.00002,1.0,1.1443803,1.1443803,0.01,1.5786804,1.5786804,2.725836,-1.1929982,1
0,82.99959,186.99995,1.4623032,1.220004,1.220004,0.01,1.3812964,1.3812964,2.6928635,-1.5964091,1
0,82.99971,208.99992,1.2733078,1.2173954,1.2173954,0.01,1.4967631,1.496763,2.6976962,-1.4234368,1
0,82.99978,273.99957,1.6869965,1.1903973,1.1903973,0.01,1.220198,1.220198,2.3892188,-1.818641,1
0,82.99989,51.999996,1.0,1.0893102,1.0893102,0.01,1.4690936,1.4690936,2.663704,-1.2070094,1
0,83.000145,284.0001,1.0,1.140056,1.140056,0.01,1.5697489,1.5697488,2.1706126,-1.194169,1
0,83.999916,263.99997,1.0,1.1560962,1.1560962,0.01,1.6031668,1.6031669,2.0616019,-1.1897683,1
0,84.00002,173.00017,1.0,1.1290588,1.1290588,0.01,1.5472907,1.5472903,2.634656,-1.1970935,1
0,84.00007,153.99982,1.0,1.17998,1.17998,0.01,1.654413,1.6544126,2.6887655,-1.1829289,1
0,84.00012,22.000042,1.0,1.1804672,1.1804672,0.01,1.6554774,1.6554773,2.387845,-1.182786,1
0,84.00012,220.00002,1.0,1.0798813,1.0798813,0.01,1.451208,1.451208,2.808647,-1.2092065,1
